thread_id,estimate,error,time_us
0,3.104,0.0375926,285.696
1,3.24,0.0984073,285.696
2,3.232,0.0904074,285.696
3,3.16,0.0184073,285.696
4,3.188,0.0464072,285.696
5,3.124,0.0175927,285.696
6,3.2,0.0584073,285.696
7,3.136,0.00559282,285.696
8,3.116,0.0255928,285.696
9,3.076,0.0655928,285.696
10,3.208,0.0664072,285.696
11,3.156,0.0144072,285.696
12,3.132,0.00959277,285.696
13,3.172,0.0304072,285.696
14,3.192,0.0504072,285.696
15,3.032,0.109593,285.696
16,3.064,0.0775928,285.696
17,3.124,0.0175927,285.696
18,3.096,0.0455928,285.696
19,3.116,0.0255928,285.696
20,3.16,0.0184073,285.696
21,3.104,0.0375926,285.696
22,3.164,0.0224073,285.696
23,3.18,0.0384073,285.696
24,3.164,0.0224073,285.696
25,3.196,0.0544074,285.696
26,3.12,0.0215929,285.696
27,3.06,0.0815928,285.696
28,3.068,0.0735927,285.696
29,3.172,0.0304072,285.696
30,3.02,0.121593,285.696
31,3.172,0.0304072,285.696
32,3.128,0.0135927,288.768
33,3.224,0.0824072,288.768
34,3.192,0.0504072,288.768
35,3.224,0.0824072,288.768
36,3.156,0.0144072,288.768
37,3.172,0.0304072,288.768
38,3.156,0.0144072,288.768
39,3.184,0.0424073,288.768
40,3.096,0.0455928,288.768
41,3.168,0.0264072,288.768
42,3.164,0.0224073,288.768
43,3.14,0.00159264,288.768
44,3.188,0.0464072,288.768
45,3.188,0.0464072,288.768
46,3.124,0.0175927,288.768
47,3.072,0.0695927,288.768
48,3.196,0.0544074,288.768
49,3.072,0.0695927,288.768
50,3.172,0.0304072,288.768
51,3.172,0.0304072,288.768
52,3.08,0.0615928,288.768
53,3.14,0.00159264,288.768
54,3.12,0.0215929,288.768
55,3.06,0.0815928,288.768
56,3.14,0.00159264,288.768
57,3.108,0.0335927,288.768
58,3.156,0.0144072,288.768
59,3.168,0.0264072,288.768
60,3.14,0.00159264,288.768
61,3.148,0.00640726,288.768
62,3.04,0.101593,288.768
63,3.08,0.0615928,288.768
64,3.136,0.00559282,285.696
65,3,0.141593,285.696
66,3.1,0.0415928,285.696
67,3.172,0.0304072,285.696
68,3.12,0.0215929,285.696
69,3.212,0.0704072,285.696
70,3.16,0.0184073,285.696
71,3.192,0.0504072,285.696
72,3.096,0.0455928,285.696
73,3.168,0.0264072,285.696
74,3.12,0.0215929,285.696
75,3,0.141593,285.696
76,3.08,0.0615928,285.696
77,3.176,0.0344074,285.696
78,3.192,0.0504072,285.696
79,3.108,0.0335927,285.696
80,3.12,0.0215929,285.696
81,3.084,0.0575926,285.696
82,3.196,0.0544074,285.696
83,3.056,0.0855927,285.696
84,2.996,0.145593,285.696
85,3.06,0.0815928,285.696
86,3.176,0.0344074,285.696
87,3.136,0.00559282,285.696
88,3.196,0.0544074,285.696
89,3.12,0.0215929,285.696
90,3.108,0.0335927,285.696
91,3.084,0.0575926,285.696
92,3.128,0.0135927,285.696
93,3.096,0.0455928,285.696
94,3.216,0.0744073,285.696
95,3.152,0.0104072,285.696
96,3.136,0.00559282,287.744
97,3.176,0.0344074,287.744
98,3.168,0.0264072,287.744
99,3.152,0.0104072,287.744
100,3.096,0.0455928,287.744
101,3.156,0.0144072,287.744
102,3.256,0.114407,287.744
103,3.156,0.0144072,287.744
104,3.08,0.0615928,287.744
105,3.264,0.122407,287.744
106,3.18,0.0384073,287.744
107,3.04,0.101593,287.744
108,3.092,0.0495927,287.744
109,3.136,0.00559282,287.744
110,3.064,0.0775928,287.744
111,3.096,0.0455928,287.744
112,3.104,0.0375926,287.744
113,3.052,0.0895927,287.744
114,3.148,0.00640726,287.744
115,3.172,0.0304072,287.744
116,3.152,0.0104072,287.744
117,3.284,0.142407,287.744
118,3.152,0.0104072,287.744
119,3.176,0.0344074,287.744
120,3.216,0.0744073,287.744
121,3.176,0.0344074,287.744
122,3.152,0.0104072,287.744
123,3.22,0.0784073,287.744
124,3.192,0.0504072,287.744
125,3.108,0.0335927,287.744
126,3.18,0.0384073,287.744
127,3.016,0.125593,287.744
128,3.18,0.0384073,285.696
129,3.104,0.0375926,285.696
130,3.236,0.0944073,285.696
131,3.1,0.0415928,285.696
132,3.172,0.0304072,285.696
133,3.092,0.0495927,285.696
134,3.12,0.0215929,285.696
135,3.16,0.0184073,285.696
136,3.136,0.00559282,285.696
137,3.168,0.0264072,285.696
138,3.204,0.0624073,285.696
139,3.184,0.0424073,285.696
140,3.124,0.0175927,285.696
141,3.116,0.0255928,285.696
142,3.22,0.0784073,285.696
143,3.156,0.0144072,285.696
144,3.192,0.0504072,285.696
145,3.1,0.0415928,285.696
146,3.068,0.0735927,285.696
147,3.108,0.0335927,285.696
148,3.096,0.0455928,285.696
149,3.036,0.105593,285.696
150,3.216,0.0744073,285.696
