thread_id,estimate,error,start_time_us,end_time_us,duration_us
0,3.1592,0.0176072,0,1203.2,1203.2
1,3.1768,0.0352073,0,1203.2,1203.2
2,3.1256,0.0159926,0,1203.2,1203.2
3,3.1672,0.0256073,0,1203.2,1203.2
4,3.156,0.0144072,0,1203.2,1203.2
5,3.1288,0.0127928,0,1203.2,1203.2
6,3.1272,0.0143929,0,1203.2,1203.2
7,3.1432,0.00160718,0,1203.2,1203.2
8,3.1496,0.00800729,0,1203.2,1203.2
9,3.1112,0.0303926,0,1203.2,1203.2
10,3.1432,0.00160718,0,1203.2,1203.2
11,3.1312,0.0103927,0,1203.2,1203.2
12,3.1432,0.00160718,0,1203.2,1203.2
13,3.1384,0.00319266,0,1203.2,1203.2
14,3.1632,0.0216072,0,1203.2,1203.2
15,3.1024,0.0391927,0,1203.2,1203.2
16,3.1408,0.000792742,0,1203.2,1203.2
17,3.1392,0.00239277,0,1203.2,1203.2
18,3.1472,0.00560737,0,1203.2,1203.2
19,3.1336,0.00799274,0,1203.2,1203.2
20,3.16,0.0184073,0,1203.2,1203.2
21,3.12,0.0215929,0,1203.2,1203.2
22,3.1624,0.0208073,0,1203.2,1203.2
23,3.168,0.0264072,0,1203.2,1203.2
24,3.1304,0.0111928,0,1203.2,1203.2
25,3.1496,0.00800729,0,1203.2,1203.2
26,3.1408,0.000792742,0,1203.2,1203.2
27,3.0992,0.0423927,0,1203.2,1203.2
28,3.1096,0.0319927,0,1203.2,1203.2
29,3.1016,0.0399928,0,1203.2,1203.2
30,3.1256,0.0159926,0,1203.2,1203.2
31,3.1648,0.0232072,0,1203.2,1203.2
32,3.164,0.0224073,0,1203.2,1203.2
33,3.144,0.00240731,0,1203.2,1203.2
34,3.1344,0.00719285,0,1203.2,1203.2
35,3.1784,0.0368073,0,1203.2,1203.2
36,3.1688,0.0272074,0,1203.2,1203.2
37,3.164,0.0224073,0,1203.2,1203.2
38,3.1576,0.0160072,0,1203.2,1203.2
39,3.1472,0.00560737,0,1203.2,1203.2
40,3.1608,0.0192072,0,1203.2,1203.2
41,3.1168,0.0247927,0,1203.2,1203.2
42,3.1256,0.0159926,0,1203.2,1203.2
43,3.1344,0.00719285,0,1203.2,1203.2
44,3.132,0.00959277,0,1203.2,1203.2
45,3.1408,0.000792742,0,1203.2,1203.2
46,3.1408,0.000792742,0,1203.2,1203.2
47,3.1448,0.00320721,0,1203.2,1203.2
48,3.1696,0.0280073,0,1203.2,1203.2
49,3.1352,0.00639272,0,1203.2,1203.2
50,3.1808,0.0392072,0,1203.2,1203.2
51,3.1568,0.0152073,0,1203.2,1203.2
52,3.1472,0.00560737,0,1203.2,1203.2
53,3.1688,0.0272074,0,1203.2,1203.2
54,3.1512,0.00960732,0,1203.2,1203.2
55,3.1496,0.00800729,0,1203.2,1203.2
56,3.1352,0.00639272,0,1203.2,1203.2
57,3.1192,0.0223927,0,1203.2,1203.2
58,3.1248,0.0167928,0,1203.2,1203.2
59,3.1288,0.0127928,0,1203.2,1203.2
60,3.1272,0.0143929,0,1203.2,1203.2
61,3.1616,0.0200074,0,1203.2,1203.2
62,3.12,0.0215929,0,1203.2,1203.2
63,3.148,0.00640726,0,1203.2,1203.2
