date,home_team,away_team,home_score,away_score,tournament,winner,venue,home_team_elo,away_team_elo
2010-01-02,Qatar,Mali,0.0,0.0,Friendly,Draw,Qatar,1523.0,1508.0
2010-01-02,Syria,Zimbabwe,6.0,0.0,Friendly,Syria,Neutral,1536.0,1454.0
2010-01-02,Yemen,Tajikistan,0.0,1.0,Friendly,Tajikistan,Yemen,1253.0,1254.0
2010-01-03,Angola,Gambia,1.0,1.0,Friendly,Draw,Neutral,1430.0,1423.0
2010-01-04,Egypt,Mali,1.0,0.0,Friendly,Egypt,Neutral,1754.0,1508.0
2010-01-05,Ghana,Malawi,0.0,0.0,Friendly,Draw,Neutral,1700.0,1379.0
2010-01-06,Bahrain,Hong Kong,4.0,0.0,AFC Asian Cup qualification,Bahrain,Bahrain,1520.0,1232.0
2010-01-06,Benin,Libya,1.0,0.0,Friendly,Benin,Benin,1382.0,1535.0
2010-01-06,Gabon,Mozambique,2.0,0.0,Friendly,Gabon,Neutral,1582.0,1277.0
2010-01-06,Indonesia,Oman,1.0,2.0,AFC Asian Cup qualification,Oman,Indonesia,1257.0,1564.0
2010-01-06,Kuwait,Australia,2.0,2.0,AFC Asian Cup qualification,Draw,Kuwait,1548.0,1744.0
2010-01-06,Lebanon,Vietnam,1.0,1.0,AFC Asian Cup qualification,Draw,Lebanon,1249.0,1252.0
2010-01-06,Singapore,Iran,1.0,3.0,AFC Asian Cup qualification,Iran,Singapore,1340.0,1790.0
2010-01-06,Thailand,Jordan,0.0,0.0,AFC Asian Cup qualification,Draw,Thailand,1452.0,1482.0
2010-01-06,United Arab Emirates,Malaysia,1.0,0.0,AFC Asian Cup qualification,United Arab Emirates,United Arab Emirates,1408.0,1214.0
2010-01-06,Yemen,Japan,2.0,3.0,AFC Asian Cup qualification,Japan,Yemen,1253.0,1785.0
2010-01-09,Kenya,Cameroon,1.0,3.0,Friendly,Cameroon,Kenya,1319.0,1663.0
2010-01-09,Tunisia,Gambia,1.0,2.0,Friendly,Gambia,Tunisia,1584.0,1423.0
2010-01-10,Angola,Mali,4.0,4.0,African Cup of Nations,Draw,Angola,1430.0,1508.0
2010-01-11,Malawi,Algeria,3.0,0.0,African Cup of Nations,Malawi,Neutral,1379.0,1399.0
2010-01-12,Egypt,Nigeria,3.0,1.0,African Cup of Nations,Egypt,Neutral,1754.0,1735.0
2010-01-12,Mozambique,Benin,2.0,2.0,African Cup of Nations,Draw,Neutral,1277.0,1382.0
2010-01-13,Cameroon,Gabon,0.0,1.0,African Cup of Nations,Gabon,Neutral,1663.0,1582.0
2010-01-13,Zambia,Tunisia,1.0,1.0,African Cup of Nations,Draw,Neutral,1537.0,1584.0
2010-01-14,Angola,Malawi,2.0,0.0,African Cup of Nations,Angola,Angola,1430.0,1379.0
2010-01-14,Mali,Algeria,0.0,1.0,African Cup of Nations,Algeria,Neutral,1508.0,1399.0
2010-01-15,Yemen,Kenya,3.0,1.0,Friendly,Yemen,Yemen,1253.0,1319.0
2010-01-16,Egypt,Mozambique,2.0,0.0,African Cup of Nations,Egypt,Neutral,1754.0,1277.0
2010-01-16,Nigeria,Benin,1.0,0.0,African Cup of Nations,Nigeria,Neutral,1735.0,1382.0
2010-01-17,Cameroon,Zambia,3.0,2.0,African Cup of Nations,Cameroon,Neutral,1663.0,1537.0
2010-01-17,Gabon,Tunisia,0.0,0.0,African Cup of Nations,Draw,Neutral,1582.0,1584.0
2010-01-17,Thailand,Singapore,1.0,0.0,King's Cup,Thailand,Thailand,1452.0,1340.0
2010-01-18,Angola,Algeria,0.0,0.0,African Cup of Nations,Draw,Angola,1430.0,1399.0
2010-01-18,Mali,Malawi,3.0,1.0,African Cup of Nations,Mali,Neutral,1508.0,1379.0
2010-01-19,Burkina Faso,Ghana,0.0,1.0,African Cup of Nations,Ghana,Neutral,1345.0,1700.0
2010-01-20,Chile,Panama,2.0,1.0,Friendly,Chile,Chile,1803.0,1596.0
2010-01-20,Egypt,Benin,2.0,0.0,African Cup of Nations,Egypt,Neutral,1754.0,1382.0
2010-01-20,Nigeria,Mozambique,3.0,0.0,African Cup of Nations,Nigeria,Neutral,1735.0,1277.0
2010-01-20,Oman,Sweden,0.0,1.0,Friendly,Sweden,Oman,1564.0,1796.0
2010-01-20,Thailand,Poland,1.0,3.0,King's Cup,Poland,Thailand,1452.0,1653.0
2010-01-20,Yemen,Bahrain,3.0,0.0,AFC Asian Cup qualification,Yemen,Yemen,1253.0,1520.0
2010-01-21,Cameroon,Tunisia,2.0,2.0,African Cup of Nations,Draw,Neutral,1663.0,1584.0
2010-01-21,Gabon,Zambia,1.0,2.0,African Cup of Nations,Zambia,Neutral,1582.0,1537.0
2010-01-23,Poland,Singapore,6.0,1.0,King's Cup,Poland,Neutral,1653.0,1340.0
2010-01-23,Syria,Sweden,1.0,1.0,Friendly,Draw,Syria,1536.0,1796.0
2010-01-23,United States,Honduras,1.0,3.0,Friendly,Honduras,United States,1865.0,1688.0
2010-01-24,Angola,Ghana,0.0,1.0,African Cup of Nations,Ghana,Angola,1430.0,1700.0
2010-01-25,Egypt,Cameroon,3.0,1.0,African Cup of Nations,Egypt,Neutral,1754.0,1663.0
2010-01-25,Zambia,Nigeria,0.0,0.0,African Cup of Nations,Draw,Neutral,1537.0,1735.0
2010-01-26,Argentina,Costa Rica,3.0,2.0,Friendly,Argentina,Argentina,1979.0,1666.0
2010-01-27,South Africa,Zimbabwe,3.0,0.0,Friendly,South Africa,South Africa,1632.0,1454.0
2010-01-28,Algeria,Egypt,0.0,4.0,African Cup of Nations,Egypt,Neutral,1399.0,1754.0
2010-01-28,Ghana,Nigeria,1.0,0.0,African Cup of Nations,Ghana,Neutral,1700.0,1735.0
2010-01-30,Nigeria,Algeria,1.0,0.0,African Cup of Nations,Nigeria,Neutral,1735.0,1399.0
2010-01-31,Ghana,Egypt,0.0,1.0,African Cup of Nations,Egypt,Neutral,1700.0,1754.0
2010-01-31,Jamaica,Canada,1.0,0.0,Friendly,Jamaica,Jamaica,1593.0,1597.0
2010-02-02,Japan,Venezuela,0.0,0.0,Friendly,Draw,Japan,1785.0,1665.0
2010-02-10,Argentina,Jamaica,2.0,1.0,Friendly,Argentina,Argentina,1979.0,1593.0
2010-02-11,Japan,Hong Kong,3.0,0.0,EAFF Championship,Japan,Japan,1785.0,1232.0
2010-02-16,Sri Lanka,Myanmar,0.0,4.0,AFC Challenge Cup,Myanmar,Sri Lanka,906.0,1223.0
2010-02-16,Tajikistan,Bangladesh,1.0,2.0,AFC Challenge Cup,Bangladesh,Neutral,1254.0,956.0
2010-02-18,Bangladesh,Myanmar,1.0,2.0,AFC Challenge Cup,Myanmar,Neutral,956.0,1223.0
2010-02-18,Sri Lanka,Tajikistan,1.0,3.0,AFC Challenge Cup,Tajikistan,Sri Lanka,906.0,1254.0
2010-02-19,Kuwait,Syria,1.0,1.0,Friendly,Draw,Neutral,1548.0,1536.0
2010-02-20,Sri Lanka,Bangladesh,3.0,0.0,AFC Challenge Cup,Sri Lanka,Sri Lanka,906.0,956.0
