elo_diff,is_home_advantage,home_attack_strength,home_defense_strength,away_attack_strength,away_defense_strength,tournament,home_score,away_score,home_team,away_team,date
15.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,0.0,0.0,Qatar,Mali,2010-01-02
82.0,0,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,6.0,0.0,Syria,Zimbabwe,2010-01-02
-1.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,0.0,1.0,Yemen,Tajikistan,2010-01-02
7.0,0,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,1.0,1.0,Angola,Gambia,2010-01-03
246.0,0,1.321220365332297,1.321220365332297,0.0,0.0,Friendly,1.0,0.0,Egypt,Mali,2010-01-04
321.0,0,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,0.0,0.0,Ghana,Malawi,2010-01-05
-532.0,1,0.0,1.0,1.321220365332297,1.321220365332297,AFC Asian Cup qualification,2.0,3.0,Yemen,Japan,2010-01-06
194.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,AFC Asian Cup qualification,1.0,0.0,United Arab Emirates,Malaysia,2010-01-06
-30.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,AFC Asian Cup qualification,0.0,0.0,Thailand,Jordan,2010-01-06
-450.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,AFC Asian Cup qualification,1.0,3.0,Singapore,Iran,2010-01-06
-3.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,AFC Asian Cup qualification,1.0,1.0,Lebanon,Vietnam,2010-01-06
-307.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,AFC Asian Cup qualification,1.0,2.0,Indonesia,Oman,2010-01-06
305.0,0,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,2.0,0.0,Gabon,Mozambique,2010-01-06
-153.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,1.0,0.0,Benin,Libya,2010-01-06
288.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,AFC Asian Cup qualification,4.0,0.0,Bahrain,Hong Kong,2010-01-06
-196.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,AFC Asian Cup qualification,2.0,2.0,Kuwait,Australia,2010-01-06
-344.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,1.0,3.0,Kenya,Cameroon,2010-01-09
161.0,1,1.321220365332297,1.321220365332297,1.0,1.0,Friendly,1.0,2.0,Tunisia,Gambia,2010-01-09
-78.0,1,1.0,1.0,0.0,0.5352456515105279,African Cup of Nations,4.0,4.0,Angola,Mali,2010-01-10
-20.0,0,0.0,0.0,1.321220365332297,1.321220365332297,African Cup of Nations,3.0,0.0,Malawi,Algeria,2010-01-11
-105.0,0,0.0,2.0,1.0,0.0,African Cup of Nations,2.0,2.0,Mozambique,Benin,2010-01-12
19.0,0,1.0,0.0,1.321220365332297,1.321220365332297,African Cup of Nations,3.0,1.0,Egypt,Nigeria,2010-01-12
-47.0,0,1.321220365332297,1.321220365332297,1.0,2.0,African Cup of Nations,1.0,1.0,Zambia,Tunisia,2010-01-13
81.0,0,3.0,1.0,2.0,0.0,African Cup of Nations,0.0,1.0,Cameroon,Gabon,2010-01-13
51.0,1,2.5435005117707266,2.5435005117707266,1.3543078412391094,0.0,African Cup of Nations,2.0,0.0,Angola,Malawi,2010-01-14
109.0,0,1.2152113872955173,1.5878478861270449,0.0,3.0,African Cup of Nations,0.0,1.0,Mali,Algeria,2010-01-14
-66.0,1,1.1747285291214216,2.1747285291214213,1.0,3.0,Friendly,3.0,1.0,Yemen,Kenya,2010-01-15
477.0,0,2.0699969164353993,0.5349984582176996,0.9325236167341431,2.0,African Cup of Nations,2.0,0.0,Egypt,Mozambique,2010-01-16
353.0,0,1.0,3.0,1.4541251778093884,0.9082503556187767,African Cup of Nations,1.0,0.0,Nigeria,Benin,2010-01-16
126.0,0,1.3640124095139607,1.0,1.0,1.0,African Cup of Nations,3.0,2.0,Cameroon,Zambia,2010-01-17
-2.0,0,1.4343537414965986,0.0,1.0,1.4807432432432432,African Cup of Nations,0.0,0.0,Gabon,Tunisia,2010-01-17
112.0,1,0.0,0.0,1.0,3.0,King's Cup,1.0,0.0,Thailand,Singapore,2010-01-17
31.0,1,2.3696055684454755,1.7296983758700697,0.5223415310010392,1.4329754069968825,African Cup of Nations,0.0,0.0,Angola,Algeria,2010-01-18
129.0,0,0.9367834916475598,1.453160825417622,0.9266946345771694,0.6314859792448664,African Cup of Nations,3.0,1.0,Mali,Malawi,2010-01-18
-355.0,0,1.321220365332297,1.321220365332297,0.0,0.0,African Cup of Nations,0.0,1.0,Burkina Faso,Ghana,2010-01-19
207.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,2.0,1.0,Chile,Panama,2010-01-20
372.0,0,2.050221238938053,0.3838495575221239,0.8992742467561029,0.9432592918407742,African Cup of Nations,2.0,0.0,Egypt,Benin,2010-01-20
458.0,0,1.0,1.6779336734693877,0.5858414582450191,2.0,African Cup of Nations,3.0,0.0,Nigeria,Mozambique,2010-01-20
-232.0,1,2.0,1.0,1.321220365332297,1.321220365332297,Friendly,0.0,1.0,Oman,Sweden,2010-01-20
-201.0,1,0.47484053862508857,0.0,1.321220365332297,1.321220365332297,King's Cup,1.0,3.0,Thailand,Poland,2010-01-20
-267.0,1,1.7271684258834328,1.8191831115190453,4.0,0.0,AFC Asian Cup qualification,3.0,0.0,Yemen,Bahrain,2010-01-20
79.0,0,1.9305993690851735,1.3463271744028842,0.6516952884191985,0.964993394980185,African Cup of Nations,2.0,2.0,Cameroon,Tunisia,2010-01-21
45.0,0,0.9321396993810787,0.0,1.5121650754542655,2.024330150908531,African Cup of Nations,1.0,2.0,Gabon,Zambia,2010-01-21
313.0,0,3.0,1.0,0.5521283158544109,2.1042566317088216,King's Cup,6.0,1.0,Poland,Singapore,2010-01-23
-260.0,1,6.0,0.0,1.0,0.0,Friendly,1.0,1.0,Syria,Sweden,2010-01-23
177.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,1.0,3.0,United States,Honduras,2010-01-23
-270.0,1,1.7889297600280258,1.3058328954282712,0.49375917767988253,0.0,African Cup of Nations,0.0,1.0,Angola,Ghana,2010-01-24
91.0,0,2.0384615384615383,0.2939681463910539,1.9488542012620391,1.5182663566921288,African Cup of Nations,3.0,1.0,Egypt,Cameroon,2010-01-25
-198.0,0,1.671981776765376,1.6887554359080554,1.578744618173578,1.1923861318830726,African Cup of Nations,0.0,0.0,Zambia,Nigeria,2010-01-25
313.0,1,1.321220365332297,1.321220365332297,1.321220365332297,1.321220365332297,Friendly,3.0,2.0,Argentina,Costa Rica,2010-01-26
178.0,1,1.321220365332297,1.321220365332297,0.0,6.0,Friendly,3.0,0.0,South Africa,Zimbabwe,2010-01-27
