Simulation_ID,Hits,Iterations_Per_Simulation,Estimated_Pi,Actual_Pi,Absolute_Error,Percentage_Error_Percent,Start_Time_ms,End_Time_ms,Duration_ms
0,39334,50000,3.146720,3.14159265359,0.00512735,0.163209,1790106607277.504395,1790106607320.090576,42.586112
1,39372,50000,3.149760,3.14159265359,0.00816735,0.259975,1790106607277.504395,1790106607320.090576,42.586112
2,39312,50000,3.144960,3.14159265359,0.00336735,0.107186,1790106607277.504395,1790106607320.090576,42.586112
3,39164,50000,3.133120,3.14159265359,0.00847265,0.269693,1790106607277.504395,1790106607320.090576,42.586112
4,39258,50000,3.140640,3.14159265359,0.00095265,0.030324,1790106607277.504395,1790106607320.090576,42.586112
5,39246,50000,3.139680,3.14159265359,0.00191265,0.060882,1790106607277.504395,1790106607320.090576,42.586112
6,39152,50000,3.132160,3.14159265359,0.00943265,0.300251,1790106607277.504395,1790106607320.090576,42.586112
7,39253,50000,3.140240,3.14159265359,0.00135265,0.043056,1790106607277.504395,1790106607320.090576,42.586112
8,39152,50000,3.132160,3.14159265359,0.00943265,0.300251,1790106607277.504395,1790106607320.090576,42.586112
9,39197,50000,3.135760,3.14159265359,0.00583265,0.185659,1790106607277.504395,1790106607320.090576,42.586112
10,39372,50000,3.149760,3.14159265359,0.00816735,0.259975,1790106607277.504395,1790106607320.090576,42.586112
11,39236,50000,3.138880,3.14159265359,0.00271265,0.086346,1790106607277.504395,1790106607320.090576,42.586112
12,39251,50000,3.140080,3.14159265359,0.00151265,0.048149,1790106607277.504395,1790106607320.090576,42.586112
13,39273,50000,3.141840,3.14159265359,0.00024735,0.007873,1790106607277.504395,1790106607320.090576,42.586112
14,39186,50000,3.134880,3.14159265359,0.00671265,0.213670,1790106607277.504395,1790106607320.090576,42.586112
15,39198,50000,3.135840,3.14159265359,0.00575265,0.183113,1790106607277.504395,1790106607320.090576,42.586112
16,39271,50000,3.141680,3.14159265359,0.00008735,0.002780,1790106607277.504395,1790106607320.090576,42.586112
17,39275,50000,3.142000,3.14159265359,0.00040735,0.012966,1790106607277.504395,1790106607320.090576,42.586112
18,39431,50000,3.154480,3.14159265359,0.01288735,0.410217,1790106607277.504395,1790106607320.090576,42.586112
19,39331,50000,3.146480,3.14159265359,0.00488735,0.155569,1790106607277.504395,1790106607320.090576,42.586112
20,39251,50000,3.140080,3.14159265359,0.00151265,0.048149,1790106607277.504395,1790106607320.090576,42.586112
21,39317,50000,3.145360,3.14159265359,0.00376735,0.119918,1790106607277.504395,1790106607320.090576,42.586112
22,39188,50000,3.135040,3.14159265359,0.00655265,0.208577,1790106607277.504395,1790106607320.090576,42.586112
23,39350,50000,3.148000,3.14159265359,0.00640735,0.203952,1790106607277.504395,1790106607320.090576,42.586112
24,39317,50000,3.145360,3.14159265359,0.00376735,0.119918,1790106607277.504395,1790106607320.090576,42.586112
25,39271,50000,3.141680,3.14159265359,0.00008735,0.002780,1790106607277.504395,1790106607320.090576,42.586112
26,39299,50000,3.143920,3.14159265359,0.00232735,0.074082,1790106607277.504395,1790106607320.090576,42.586112
27,39176,50000,3.134080,3.14159265359,0.00751265,0.239135,1790106607277.504395,1790106607320.090576,42.586112
28,39155,50000,3.132400,3.14159265359,0.00919265,0.292611,1790106607277.504395,1790106607320.090576,42.586112
29,39327,50000,3.146160,3.14159265359,0.00456735,0.145383,1790106607277.504395,1790106607320.090576,42.586112
30,39389,50000,3.151120,3.14159265359,0.00952735,0.303265,1790106607277.504395,1790106607320.090576,42.586112
31,39278,50000,3.142240,3.14159265359,0.00064735,0.020606,1790106607277.504395,1790106607320.090576,42.586112
32,39389,50000,3.151120,3.14159265359,0.00952735,0.303265,1790106607277.504395,1790106607320.109131,42.604544
33,39364,50000,3.149120,3.14159265359,0.00752735,0.239603,1790106607277.504395,1790106607320.109131,42.604544
34,39251,50000,3.140080,3.14159265359,0.00151265,0.048149,1790106607277.504395,1790106607320.109131,42.604544
35,39172,50000,3.133760,3.14159265359,0.00783265,0.249321,1790106607277.504395,1790106607320.109131,42.604544
36,39177,50000,3.134160,3.14159265359,0.00743265,0.236589,1790106607277.504395,1790106607320.109131,42.604544
37,39225,50000,3.138000,3.14159265359,0.00359265,0.114358,1790106607277.504395,1790106607320.109131,42.604544
38,39311,50000,3.144880,3.14159265359,0.00328735,0.104639,1790106607277.504395,1790106607320.109131,42.604544
39,39447,50000,3.155760,3.14159265359,0.01416735,0.450961,1790106607277.504395,1790106607320.109131,42.604544
40,39284,50000,3.142720,3.14159265359,0.00112735,0.035885,1790106607277.504395,1790106607320.109131,42.604544
41,39299,50000,3.143920,3.14159265359,0.00232735,0.074082,1790106607277.504395,1790106607320.109131,42.604544
42,39311,50000,3.144880,3.14159265359,0.00328735,0.104639,1790106607277.504395,1790106607320.109131,42.604544
43,39229,50000,3.138320,3.14159265359,0.00327265,0.104172,1790106607277.504395,1790106607320.109131,42.604544
44,39129,50000,3.130320,3.14159265359,0.01127265,0.358820,1790106607277.504395,1790106607320.109131,42.604544
45,39210,50000,3.136800,3.14159265359,0.00479265,0.152555,1790106607277.504395,1790106607320.109131,42.604544
46,39217,50000,3.137360,3.14159265359,0.00423265,0.134730,1790106607277.504395,1790106607320.109131,42.604544
47,39320,50000,3.145600,3.14159265359,0.00400735,0.127558,1790106607277.504395,1790106607320.109131,42.604544
48,39184,50000,3.134720,3.14159265359,0.00687265,0.218763,1790106607277.504395,1790106607320.109131,42.604544
49,39300,50000,3.144000,3.14159265359,0.00240735,0.076628,1790106607277.504395,1790106607320.109131,42.604544
50,39353,50000,3.148240,3.14159265359,0.00664735,0.211592,1790106607277.504395,1790106607320.109131,42.604544
51,39269,50000,3.141520,3.14159265359,0.00007265,0.002313,1790106607277.504395,1790106607320.109131,42.604544
52,39346,50000,3.147680,3.14159265359,0.00608735,0.193766,1790106607277.504395,1790106607320.109131,42.604544
53,39280,50000,3.142400,3.14159265359,0.00080735,0.025699,1790106607277.504395,1790106607320.109131,42.604544
54,39297,50000,3.143760,3.14159265359,0.00216735,0.068989,1790106607277.504395,1790106607320.109131,42.604544
55,39276,50000,3.142080,3.14159265359,0.00048735,0.015513,1790106607277.504395,1790106607320.109131,42.604544
56,39389,50000,3.151120,3.14159265359,0.00952735,0.303265,1790106607277.504395,1790106607320.109131,42.604544
57,39241,50000,3.139280,3.14159265359,0.00231265,0.073614,1790106607277.504395,1790106607320.109131,42.604544
58,39340,50000,3.147200,3.14159265359,0.00560735,0.178487,1790106607277.504395,1790106607320.109131,42.604544
59,39267,50000,3.141360,3.14159265359,0.00023265,0.007406,1790106607277.504395,1790106607320.109131,42.604544
60,39189,50000,3.135120,3.14159265359,0.00647265,0.206031,1790106607277.504395,1790106607320.109131,42.604544
61,39562,50000,3.164960,3.14159265359,0.02336735,0.743806,1790106607277.504395,1790106607320.109131,42.604544
62,39208,50000,3.136640,3.14159265359,0.00495265,0.157648,1790106607277.504395,1790106607320.109131,42.604544
63,39175,50000,3.134000,3.14159265359,0.00759265,0.241682,1790106607277.504395,1790106607320.109131,42.604544
64,39347,50000,3.147760,3.14159265359,0.00616735,0.196313,1790106607277.504395,1790106607320.118164,42.613760
65,39221,50000,3.137680,3.14159265359,0.00391265,0.124544,1790106607277.504395,1790106607320.118164,42.613760
66,39281,50000,3.142480,3.14159265359,0.00088735,0.028245,1790106607277.504395,1790106607320.118164,42.613760
67,39416,50000,3.153280,3.14159265359,0.01168735,0.372020,1790106607277.504395,1790106607320.118164,42.613760
68,39163,50000,3.133040,3.14159265359,0.00855265,0.272239,1790106607277.504395,1790106607320.118164,42.613760
69,39402,50000,3.152160,3.14159265359,0.01056735,0.336369,1790106607277.504395,1790106607320.118164,42.613760
70,39258,50000,3.140640,3.14159265359,0.00095265,0.030324,1790106607277.504395,1790106607320.118164,42.613760
71,39470,50000,3.157600,3.14159265359,0.01600735,0.509530,1790106607277.504395,1790106607320.118164,42.613760
72,39347,50000,3.147760,3.14159265359,0.00616735,0.196313,1790106607277.504395,1790106607320.118164,42.613760
73,39346,50000,3.147680,3.14159265359,0.00608735,0.193766,1790106607277.504395,1790106607320.118164,42.613760
74,39325,50000,3.146000,3.14159265359,0.00440735,0.140290,1790106607277.504395,1790106607320.118164,42.613760
75,39049,50000,3.123920,3.14159265359,0.01767265,0.562538,1790106607277.504395,1790106607320.118164,42.613760
76,39211,50000,3.136880,3.14159265359,0.00471265,0.150008,1790106607277.504395,1790106607320.118164,42.613760
77,39223,50000,3.137840,3.14159265359,0.00375265,0.119451,1790106607277.504395,1790106607320.118164,42.613760
78,39176,50000,3.134080,3.14159265359,0.00751265,0.239135,1790106607277.504395,1790106607320.118164,42.613760
79,39169,50000,3.133520,3.14159265359,0.00807265,0.256961,1790106607277.504395,1790106607320.118164,42.613760
80,39297,50000,3.143760,3.14159265359,0.00216735,0.068989,1790106607277.504395,1790106607320.118164,42.613760
81,39295,50000,3.143600,3.14159265359,0.00200735,0.063896,1790106607277.504395,1790106607320.118164,42.613760
82,39328,50000,3.146240,3.14159265359,0.00464735,0.147930,1790106607277.504395,1790106607320.118164,42.613760
83,39160,50000,3.132800,3.14159265359,0.00879265,0.279879,1790106607277.504395,1790106607320.118164,42.613760
84,39328,50000,3.146240,3.14159265359,0.00464735,0.147930,1790106607277.504395,1790106607320.118164,42.613760
85,39105,50000,3.128400,3.14159265359,0.01319265,0.419935,1790106607277.504395,1790106607320.118164,42.613760
86,39334,50000,3.146720,3.14159265359,0.00512735,0.163209,1790106607277.504395,1790106607320.118164,42.613760
87,39274,50000,3.141920,3.14159265359,0.00032735,0.010420,1790106607277.504395,1790106607320.118164,42.613760
88,39299,50000,3.143920,3.14159265359,0.00232735,0.074082,1790106607277.504395,1790106607320.118164,42.613760
89,39279,50000,3.142320,3.14159265359,0.00072735,0.023152,1790106607277.504395,1790106607320.118164,42.613760
90,39218,50000,3.137440,3.14159265359,0.00415265,0.132183,1790106607277.504395,1790106607320.118164,42.613760
