Team,Group
Mexico,A
South Africa,A
South Korea,A
Czechia,A
Canada,B
Bosnia and Herzegovina,B
Qatar,B
Switzerland,B
Brazil,C
Morocco,C
Haiti,C
Scotland,C
United States,D
Paraguay,D
Australia,D
Turkiye,D
Germany,E
Curacao,E
Ivory Coast,E
Ecuador,E
Netherlands,F
Japan,F
Sweden,F
Tunisia,F
Belgium,G
Egypt,G
Iran,G
New Zealand,G
Spain,H
Cape Verde,H
Saudi Arabia,H
Uruguay,H
France,I
Senegal,I
Iraq,I
Norway,I
Argentina,J
Algeria,J
Austria,J
Jordan,J
Portugal,K
DR Congo,K
Uzbekistan,K
Colombia,K
England,L
Croatia,L
Ghana,L
Panama,L
